Date,Close,Open,High,Low,Volume
4/26/21, R$ 7.20 , R$ 7.21 , R$ 7.40 , R$ 7.13 ,"2,849,800"
4/27/21, R$ 6.98 , R$ 7.20 , R$ 7.32 , R$ 6.94 ,"2,328,500"
4/28/21, R$ 7.07 , R$ 7.10 , R$ 7.20 , R$ 6.95 ,"2,106,900"
4/29/21, R$ 6.98 , R$ 7.11 , R$ 7.16 , R$ 6.97 ,"1,882,900"
4/30/21, R$ 7.27 , R$ 6.99 , R$ 7.60 , R$ 6.96 ,"9,363,900"
5/3/21, R$ 7.78 , R$ 7.35 , R$ 7.78 , R$ 7.28 ,"5,848,300"
5/4/21, R$ 7.24 , R$ 7.49 , R$ 7.65 , R$ 7.21 ,#N/A
5/5/21, R$ 7.15 , R$ 7.39 , R$ 7.40 , R$ 7.12 ,"2,836,900"
5/6/21, R$ 7.05 , R$ 7.13 , R$ 7.20 , R$ 7.05 ,"1,364,800"
5/7/21, R$ 7.07 , R$ 7.12 , R$ 7.20 , R$ 7.05 ,"1,672,300"
5/10/21, R$ 7.12 , R$ 7.13 , R$ 7.19 , R$ 7.06 ,"1,691,600"
5/11/21, R$ 7.04 , R$ 7.06 , R$ 7.11 , R$ 6.91 ,"1,643,700"
5/12/21, R$ 6.81 , R$ 7.03 , R$ 7.06 , R$ 6.81 ,"2,070,900"
5/13/21, R$ 6.65 , R$ 6.85 , R$ 6.95 , R$ 6.57 ,"2,728,000"
5/14/21, R$ 6.81 , R$ 6.74 , R$ 6.86 , R$ 6.70 ,"1,877,600"
5/17/21, R$ 6.61 , R$ 6.80 , R$ 6.84 , R$ 6.56 ,"2,155,600"
5/18/21, R$ 6.64 , R$ 6.61 , R$ 6.75 , R$ 6.61 ,"1,259,600"
5/19/21, R$ 6.50 , R$ 6.61 , R$ 6.63 , R$ 6.47 ,"1,443,300"
5/20/21, R$ 6.40 , R$ 6.51 , R$ 6.57 , R$ 6.39 ,"1,211,000"
5/21/21, R$ 6.46 , R$ 6.43 , R$ 6.64 , R$ 6.43 ,"1,433,100"
5/24/21, R$ 6.50 , R$ 6.52 , R$ 6.52 , R$ 6.40 ,"1,349,800"
5/25/21, R$ 6.60 , R$ 6.54 , R$ 6.69 , R$ 6.49 ,"1,612,200"
5/26/21, R$ 6.74 , R$ 6.60 , R$ 6.84 , R$ 6.57 ,"1,693,100"
5/27/21, R$ 6.90 , R$ 6.76 , R$ 6.90 , R$ 6.71 ,"1,321,600"
5/28/21, R$ 6.79 , R$ 6.91 , R$ 6.96 , R$ 6.75 ,"977,600"
5/31/21, R$ 6.51 , R$ 6.81 , R$ 6.94 , R$ 6.50 ,"4,915,900"
6/1/21, R$ 6.35 , R$ 6.57 , R$ 6.62 , R$ 6.34 ,"6,457,400"
6/2/21, R$ 6.40 , R$ 6.40 , R$ 6.46 , R$ 6.35 ,"3,205,300"
6/4/21, R$ 6.41 , R$ 6.39 , R$ 6.44 , R$ 6.37 ,"1,787,000"
6/7/21, R$ 6.47 , R$ 6.40 , R$ 6.62 , R$ 6.40 ,"3,094,200"
6/8/21, R$ 6.43 , R$ 6.48 , R$ 6.55 , R$ 6.40 ,"1,471,300"
6/9/21, R$ 6.23 , R$ 6.39 , R$ 6.40 , R$ 6.22 ,"3,894,700"
